lam,lamU,gamma,accuracy
1e-07,0.001,0.1,0.8333333333333334
1e-07,0.001,0.2,0.8000000000000002
1e-07,0.001,0.30000000000000004,0.9333333333333332
1e-07,0.001,0.4,0.9666666666666667
1e-07,0.001,0.5,0.9666666666666667
1e-07,0.001,0.6,0.9666666666666667
1e-07,0.001,0.7000000000000001,0.9666666666666667
1e-07,0.001,0.8,0.9666666666666667
1e-07,0.001,0.9,0.9666666666666667
1e-07,0.001,1.0,0.8666666666666667
1e-07,0.001,1.1,0.9666666666666667
1e-07,0.001,1.2000000000000002,0.9666666666666667
1e-07,0.001,1.3000000000000003,0.9
1e-07,0.001,1.4000000000000001,0.9666666666666667
1e-07,0.001,1.5000000000000002,0.9666666666666667
1e-07,0.001,1.6,0.8666666666666667
1e-07,0.001,1.7000000000000002,0.9666666666666667
1e-07,0.001,1.8000000000000003,0.9666666666666667
1e-07,0.001,1.9000000000000001,0.8666666666666667
1e-07,0.001,2.0,0.9666666666666667
1e-07,0.01,0.1,0.8333333333333334
1e-07,0.01,0.2,0.8000000000000002
1e-07,0.01,0.30000000000000004,0.9333333333333332
1e-07,0.01,0.4,0.9666666666666667
1e-07,0.01,0.5,0.9666666666666667
1e-07,0.01,0.6,0.9666666666666667
1e-07,0.01,0.7000000000000001,0.9666666666666667
1e-07,0.01,0.8,0.9666666666666667
1e-07,0.01,0.9,0.9666666666666667
1e-07,0.01,1.0,0.8666666666666667
1e-07,0.01,1.1,0.9666666666666667
1e-07,0.01,1.2000000000000002,0.9666666666666667
1e-07,0.01,1.3000000000000003,0.9
1e-07,0.01,1.4000000000000001,0.9666666666666667
1e-07,0.01,1.5000000000000002,0.9666666666666667
1e-07,0.01,1.6,0.8666666666666667
1e-07,0.01,1.7000000000000002,0.9666666666666667
1e-07,0.01,1.8000000000000003,0.9666666666666667
1e-07,0.01,1.9000000000000001,0.8666666666666667
1e-07,0.01,2.0,0.9666666666666667
1e-07,0.1,0.1,0.8333333333333334
1e-07,0.1,0.2,0.8000000000000002
1e-07,0.1,0.30000000000000004,0.9333333333333332
1e-07,0.1,0.4,0.9666666666666667
1e-07,0.1,0.5,0.9666666666666667
1e-07,0.1,0.6,0.9666666666666667
1e-07,0.1,0.7000000000000001,0.9666666666666667
