c,gamma,accuracy
0.1,0.1,0.6676767676767676
0.1,0.2,0.6676767676767676
0.1,0.30000000000000004,0.6676767676767676
0.1,0.4,0.6676767676767676
0.1,0.5,0.6676767676767676
0.1,0.6,0.6676767676767676
0.1,0.7000000000000001,0.6676767676767676
0.1,0.8,0.6676767676767676
0.1,0.9,0.6676767676767676
0.1,1.0,0.6676767676767676
0.1,1.1,0.6676767676767676
0.1,1.2000000000000002,0.6676767676767676
0.1,1.3000000000000003,0.6676767676767676
0.1,1.4000000000000001,0.6676767676767676
0.1,1.5000000000000002,0.6676767676767676
0.1,1.6,0.6676767676767676
0.1,1.7000000000000002,0.6676767676767676
0.1,1.8000000000000003,0.6676767676767676
0.1,1.9000000000000001,0.6676767676767676
0.1,2.0,0.6676767676767676
0.2,0.1,0.6676767676767676
0.2,0.2,0.6676767676767676
0.2,0.30000000000000004,0.6676767676767676
0.2,0.4,0.6676767676767676
0.2,0.5,0.6676767676767676
0.2,0.6,0.6676767676767676
0.2,0.7000000000000001,0.6676767676767676
0.2,0.8,0.7417508417508417
0.2,0.9,0.7417508417508417
0.2,1.0,0.7787878787878788
0.2,1.1,0.7787878787878788
0.2,1.2000000000000002,0.7787878787878788
0.2,1.3000000000000003,0.7787878787878788
0.2,1.4000000000000001,0.7787878787878788
0.2,1.5000000000000002,0.7787878787878788
0.2,1.6,0.7787878787878788
0.2,1.7000000000000002,0.7787878787878788
0.2,1.8000000000000003,0.7787878787878788
0.2,1.9000000000000001,0.7787878787878788
0.2,2.0,0.8090909090909091
0.30000000000000004,0.1,0.6676767676767676
0.30000000000000004,0.2,0.6676767676767676
0.30000000000000004,0.30000000000000004,0.6676767676767676
0.30000000000000004,0.4,0.7787878787878788
0.30000000000000004,0.5,0.8090909090909091
0.30000000000000004,0.6,0.9393939393939394
0.30000000000000004,0.7000000000000001,1.0
0.30000000000000004,0.8,1.0
0.30000000000000004,0.9,1.0
0.30000000000000004,1.0,1.0
0.30000000000000004,1.1,1.0
0.30000000000000004,1.2000000000000002,1.0
0.30000000000000004,1.3000000000000003,1.0
0.30000000000000004,1.4000000000000001,1.0
0.30000000000000004,1.5000000000000002,1.0
0.30000000000000004,1.6,0.9696969696969697
0.30000000000000004,1.7000000000000002,0.9696969696969697
0.30000000000000004,1.8000000000000003,0.9696969696969697
0.30000000000000004,1.9000000000000001,0.9696969696969697
0.30000000000000004,2.0,0.9696969696969697
0.4,0.1,0.6676767676767676
0.4,0.2,0.6676767676767676
0.4,0.30000000000000004,0.7787878787878788
0.4,0.4,1.0
0.4,0.5,1.0
0.4,0.6,1.0
0.4,0.7000000000000001,0.9629629629629629
0.4,0.8,0.9629629629629629
0.4,0.9,0.9629629629629629
0.4,1.0,1.0
0.4,1.1,1.0
0.4,1.2000000000000002,1.0
0.4,1.3000000000000003,1.0
0.4,1.4000000000000001,1.0
0.4,1.5000000000000002,1.0
0.4,1.6,1.0
0.4,1.7000000000000002,1.0
0.4,1.8000000000000003,1.0
0.4,1.9000000000000001,1.0
0.4,2.0,1.0
0.5,0.1,0.6676767676767676
0.5,0.2,0.7787878787878788
0.5,0.30000000000000004,1.0
0.5,0.4,1.0
0.5,0.5,0.9629629629629629
0.5,0.6,0.9629629629629629
0.5,0.7000000000000001,0.9629629629629629
0.5,0.8,0.9629629629629629
0.5,0.9,1.0
0.5,1.0,1.0
0.5,1.1,1.0
0.5,1.2000000000000002,1.0
0.5,1.3000000000000003,1.0
0.5,1.4000000000000001,1.0
0.5,1.5000000000000002,1.0
0.5,1.6,1.0
0.5,1.7000000000000002,1.0
0.5,1.8000000000000003,1.0
0.5,1.9000000000000001,1.0
0.5,2.0,1.0
0.6,0.1,0.6676767676767676
0.6,0.2,1.0
0.6,0.30000000000000004,1.0
0.6,0.4,0.9629629629629629
0.6,0.5,0.9629629629629629
0.6,0.6,0.9629629629629629
0.6,0.7000000000000001,1.0
0.6,0.8,1.0
0.6,0.9,1.0
0.6,1.0,1.0
0.6,1.1,1.0
0.6,1.2000000000000002,1.0
0.6,1.3000000000000003,1.0
0.6,1.4000000000000001,1.0
0.6,1.5000000000000002,1.0
0.6,1.6,1.0
0.6,1.7000000000000002,1.0
0.6,1.8000000000000003,1.0
0.6,1.9000000000000001,1.0
0.6,2.0,1.0
0.7000000000000001,0.1,0.6676767676767676
0.7000000000000001,0.2,1.0
0.7000000000000001,0.30000000000000004,0.9629629629629629
0.7000000000000001,0.4,0.9629629629629629
0.7000000000000001,0.5,0.9629629629629629
0.7000000000000001,0.6,1.0
0.7000000000000001,0.7000000000000001,1.0
0.7000000000000001,0.8,1.0
0.7000000000000001,0.9,1.0
0.7000000000000001,1.0,1.0
0.7000000000000001,1.1,1.0
0.7000000000000001,1.2000000000000002,1.0
0.7000000000000001,1.3000000000000003,1.0
0.7000000000000001,1.4000000000000001,1.0
0.7000000000000001,1.5000000000000002,1.0
0.7000000000000001,1.6,1.0
0.7000000000000001,1.7000000000000002,1.0
0.7000000000000001,1.8000000000000003,1.0
0.7000000000000001,1.9000000000000001,1.0
0.7000000000000001,2.0,1.0
0.8,0.1,0.6676767676767676
0.8,0.2,1.0
0.8,0.30000000000000004,0.9629629629629629
0.8,0.4,0.9629629629629629
0.8,0.5,1.0
0.8,0.6,1.0
0.8,0.7000000000000001,1.0
0.8,0.8,1.0
0.8,0.9,1.0
0.8,1.0,1.0
0.8,1.1,1.0
0.8,1.2000000000000002,1.0
0.8,1.3000000000000003,1.0
0.8,1.4000000000000001,1.0
0.8,1.5000000000000002,1.0
0.8,1.6,1.0
0.8,1.7000000000000002,1.0
0.8,1.8000000000000003,1.0
0.8,1.9000000000000001,1.0
0.8,2.0,1.0
0.9,0.1,0.7787878787878788
0.9,0.2,0.9629629629629629
0.9,0.30000000000000004,0.9629629629629629
0.9,0.4,0.9629629629629629
0.9,0.5,1.0
0.9,0.6,1.0
0.9,0.7000000000000001,1.0
0.9,0.8,1.0
0.9,0.9,1.0
0.9,1.0,1.0
0.9,1.1,1.0
0.9,1.2000000000000002,1.0
0.9,1.3000000000000003,1.0
0.9,1.4000000000000001,1.0
0.9,1.5000000000000002,1.0
0.9,1.6,1.0
0.9,1.7000000000000002,1.0
